Thought,Black and White,Overgeneralization,Mental Filtering,Disqualifying the Positive,Mind Reading,Fortune Telling,Catastrophizing,Emotional Reasoning,Should Statements,Labeling,Self-Blame,Blaming Others
"It's like there's no one left to trust, no family, and I feel really bad about it.",0,0,0,0,0,0,0,0,0,1,0,0
"I don't know what I want, and I don't know what I'm trying to do, and I don't know what I'm doing.",0,0,1,0,0,0,1,0,0,0,0,0
Just make me sick. I'm an evil man. You think so.,0,0,0,0,0,0,0,0,0,1,0,0
"This time they're gonna hate me. My aunt says I'm not gonna make it. What about her two kids, they're getting suffocated, and I'm leaving soon.",0,0,0,0,0,1,0,0,0,0,0,0
Aren't I supposed to exist?,0,0,0,0,0,0,0,0,1,0,0,0
"It seems like I've met such a good person recently, as well as a better appetite for sleep. Doctors have told me that people who don't know how much you know or you don't know to help you in their lives, like parents who are good to them and you can't repay them in full, but I know that I am selfish and I don't want to be responsible for anyone else except them.",0,0,0,0,0,0,0,0,0,1,0,0
But I'm such a coward.,0,0,0,0,0,0,0,0,0,1,0,0
My family and friends have abandoned me.,0,0,0,0,0,0,1,0,0,1,0,0
"I don't know what's good, what's wrong with me. I can't express myself, I can't communicate.",0,1,0,0,0,0,1,0,0,0,0,0
"I've always wanted to walk past a girl who's crying, and I've always wanted to hold her, and maybe I'm too sandy to cry, but if you're crying, I'm gonna hold you.",0,0,0,0,0,0,0,0,0,1,0,0
I guess I'm a little grumpy. I can't change the paper form to throw the computers out.,0,0,0,0,0,0,0,0,0,1,0,0
"Yesterday I finally went to a psychological consultation. It was something that I never had the courage to do before confirming that I really had one foot out of the ground. I would stay alive, but I was sure I couldn't be happy.",0,0,0,0,0,1,0,0,0,0,0,0
I guess everything's gonna be all right.,0,1,0,0,0,1,0,0,0,0,0,0
"I'm so sad today, I thought it was just depression, like I'd been crying for no reason since my grandfather died in 18 years, but I think I've never been happy.",0,1,0,0,0,0,0,0,0,0,0,0
I'm so useless. I'm so stupid. I don't even want to fall.,0,0,0,0,0,0,0,0,0,1,0,0
It's really sad. It's bothering you. I'm sorry.,0,0,0,0,0,0,0,0,0,0,1,0
"I'm still tired and tired in the morning, and I'm tired, and I'm tired, and I'm tired, and I'm tired, and I'm tired, and I'm tired, and I'm tired, and I'm tired, and I'm tired, and I'm tired.",0,0,1,0,0,0,0,0,0,0,0,0
"I want to kill myself, nobody knows I can't leave without a father, I can't be a happy sister, I can't work well, I can't give a family, I have a heavy burden, I don't want to do what I like, I don't know what I do in a strange city, I'm afraid of the dark, I sleep in a light every day, I don't feel sorry for myself in a little corner.",0,0,1,0,0,0,0,0,0,0,0,0
I don't think the world needs me anymore.,0,0,0,0,0,1,0,0,0,0,0,0
"My mom didn't want me to give up on you, either, so I slit my wrists, and I killed myself, and it really hurt, and I cut blood a little bit more, and I felt my arms, and my fingers were cold, and wondered how you died, and it hurt, and I had the courage to slit my wrists, and I failed, and I was disappointed.",0,0,1,0,0,0,0,0,0,0,0,0
Can't you stop loving because it hurts too much and I'm dying?,0,0,1,0,0,0,1,0,0,0,0,0
He'll never be a person to be cherished.,0,1,0,0,0,1,0,0,0,0,0,0
"I hate foreign trade, I hate being a customer's licking dog, I hate to hear back on holidays.",0,0,0,0,0,0,0,0,0,1,0,0
"And here I am again, going out with my friends today, going to a lot of places, and I suddenly have a weird feeling that there are so many people in the world, and I'm so tired and tired, and I don't know what I'm living for, what I'm working for, and I don't really want to do anything, and I don't want to have anything.",0,0,0,1,0,0,0,0,0,0,0,0
"Love will happen, but I don't believe it will happen to me, and I don't believe that any relationship will really last forever, and I hope that you will meet for a long time.",0,0,0,0,0,1,0,0,0,0,0,0
"I failed to live up to my time, to live up to my love and friendship, to live up to myself, to live up to all the good things, to be human.",0,0,0,0,0,0,0,0,0,1,0,0
"I'm crying again tonight, hiding in my nest and suffocating. I don't know if I have tomorrow. I don't want to be so tired. I want to be happy.",0,0,1,0,0,0,0,0,0,0,0,0
"I'm too sensitive, it's really hard...",0,0,0,0,0,0,1,0,0,0,0,0
"Insomnia, so annoying, sometimes it's boring to think that people are alive. Feels like their best days are over. From graduation, there will be no more happiness in college.",0,0,0,0,0,1,0,0,0,0,0,0
"Sometimes I imagine that I have a knife in my hand, and then I stab it in my heart. Until one day, when I really took a knife and I was about to stab it in my heart, I threw it away like a twitch, and I started shaking and yelling at my nerves. I was so scared.",0,0,0,0,0,0,0,0,0,1,0,0
"No joy, no soul, no interest, nothing but a body.",0,0,0,1,0,0,0,0,0,0,0,0
"It's a crash. I haven't been able to say a few things in the morning, and I don't know what the answer is.",0,0,0,0,0,0,1,0,0,0,0,0
"I don't want to be cured. All the facts will never get better, and all the worst things I've ever thought of will happen. Does it make sense to pray that I'm dying, and if another man who works hard is in danger, it's a wish to replace him with me.",0,0,0,0,0,1,0,0,0,0,0,0
I'm sorry to come to you and cry with cowardice. I don't know where to begin my grief. I only know that one wound is expected to take a long time to heal.,0,0,0,0,0,0,0,0,0,1,0,0
"I didn't even have the courage to die. I thought about it a million times, but every time I went to that place, I stopped, I went back, and I was in endless misery. I didn't know how much medicine would kill me. I didn't know how long the process would take, how much pain it would hurt. I didn't know what to do with my parents, how to explain it to them, and my friends, my teachers, my relatives, when to leave it.",0,0,0,0,0,0,0,0,0,1,0,0
"I still can't adjust my mind. I don't want to go to school. I'm afraid of school. I'm just a coward. I want to tell my dad everything. I want to drop school, but I'm afraid he'll disappoint me.",0,0,0,0,0,0,0,0,0,1,0,0
I'm not having nightmares. I'm not having nightmares. No one's gonna comfort me.,0,0,0,0,0,1,0,0,0,0,0,0
I'm an insulation. I live on Earth.,0,0,0,0,0,0,0,0,0,1,0,0
"I'm really sorry, I want to hurt myself, I don't want anyone to know, I want to go home, I don't want to go home.",0,0,1,0,0,0,0,0,0,0,0,0
"I've been working a lot lately, and my leadership has been under pressure, and I feel like I can't do anything right, being a brother, not a good boy, not a good son, not a good family member, so I want to die.",0,0,0,0,0,0,1,0,0,0,0,0
"After graduation, the job didn't go well. Because I got out of school and broke up with my boyfriend. I lost a lot of money, and my mom was hit by it. I was fat for three or four months, and I couldn't sleep at night. I was supposed to give my parents a better life, and now they're more worried about me. I've got a stable job, and now I'm going home from the city I like. I can't see the future.",0,0,1,0,0,0,0,0,0,0,0,0
"There's nothing in the world that hurts me anymore; and he's away from me, and maybe it's the end.",0,1,0,0,0,1,0,0,0,0,0,0
"I'd like to make a good confession about what I've failed on the human side, because I've got a manic disorder, and I've deleted our best friend's letters. I'm sorry, but I'm sorry, but I shouldn't be emotional about this. I shouldn't. I'm sorry. I'm sorry. I'm sorry.",0,0,0,0,0,0,0,0,1,0,1,0
"I really like you so much, but look at you, like the moon, bright and pure, and I'm just a dust in the dark. I can't ever get near you. I just want you to be happy forever.",0,0,0,0,0,1,0,0,0,1,0,0
"Walking in a crowded street, feeling alone like dust, drifting away with the wind.",0,0,0,0,0,0,0,0,0,1,0,0
"I forgot how many times a man collapses at night, and I'm afraid people will know they can't cry, and they won't even cry.",0,0,0,0,0,0,0,0,0,1,0,0
"I envy you, I have some fear, I have difficulty looking at people, I especially want to live alone, but I am forced to face a lot of people every day, and it is worse than death.",0,0,0,0,0,0,0,0,0,1,0,0
I'm so annoying. It's sad.,0,0,0,0,0,0,0,0,0,1,0,0
"I'm about to graduate, so I can go home and do it, but at home my parents are being talked about, and I don't know, there's no good way to think that I'm sick, that I'm going to break my body, that I'm going to die.",0,0,0,0,0,0,1,0,0,0,0,0
Is this still a boyfriend? Isn't this a total fraud?,0,0,0,0,0,0,0,0,0,1,0,0
Just make me sick.,0,0,0,0,0,0,0,0,0,1,0,0
"I don't really like my dad's ideas, I'm going to school tomorrow, and he's calling the class chief, and he's telling me what's best for me, okay, but can't you hear me? I just want to calm down, I'm really tired, I'm really tired, I'm not telling you that, and I'm really tired.",0,0,0,0,0,0,0,0,0,0,0,1
"I definitely couldn't be a good friend with him, but I really wanted to be the best friend with her.",0,0,0,0,0,1,0,0,0,0,0,0
"It's really hard to eat, I've become the psycho I saw on TV since I was a kid, and I feel like I'm in a special mood. I've always regretted why my parents didn't give birth to another brother, so I'm gone and I'm not going to hurt them.",0,0,0,0,0,0,0,0,0,1,0,0
Death will die. Release will not be spared. Death will not be spared.,0,1,0,0,0,1,0,0,0,0,0,0
"I wanted to die, I felt so bad, I lived so hard, I thought I was doing well, but I really wanted to die, and I wanted to think about it every day.",0,0,1,0,0,0,0,0,0,0,0,0
"The job is targeted by the leadership, and the colleagues say bad things behind it. Today they leave, pay no wages, pay rent this month, pay no money, and don't even have a place to live. Parents haven't been in touch for years, they've been alone, they've been trying to keep you alive, they're tired.",0,0,0,0,1,0,0,0,0,0,0,0
I don't even like myself. I feel like I'm really bad.,0,0,0,0,0,0,0,0,0,1,0,0
I hate it when I don't like to talk. Why do you want to talk to me? Why don't you just ask me? Why don't you say something against me?,0,0,0,0,1,0,0,0,0,0,0,0
"Life, it's desperate. Or my life, it's desperate. It's probably been two years, but pay off the debt.",0,0,1,0,0,0,0,0,0,0,0,0
"Every minute is suffering, the chest is sour and the tears can't stop, but I don't want it to fall.",0,0,1,0,0,0,1,0,0,0,0,0
I really like you so much that you're going crazy.,0,0,0,0,0,0,0,0,0,1,0,0
"When I wake up in the morning, I get bored, I get bored, I think of things, I'm still emotionally disturbed, extreme, or I'm fine, but as long as someone else's eyes are wrong, I want to hit him or even kill him, and then I go to hell, and, well, I'm tired, and I haven't been too slow since my last emotional breakdown.",0,0,0,0,0,0,1,0,0,0,0,0
"There are really too many ignorant and boring people around, and it's the same that you're depressed yourself. I want to cry. Can you not sleep with your sadness for a while?",0,0,0,0,0,0,0,0,0,1,0,0
How do you get to communicate with people? It's like being isolated from the world. It's hard.,0,0,0,0,0,1,0,0,0,0,0,0
"I've done everything for him, everything, money, and body. The baby's gone. But he says I can't give him what he wants. Why am I so stupid? For three years, I've been taking care of his diet, helping him to work, trying to figure out what to do, I just want nothing, just to be with him, and why in the end? I've been fighting everything alone.",0,0,0,0,0,0,0,0,0,1,0,0
"A little emotional frustration has given me a great deal of heart, and my friends have persuaded me not to focus so much on love and love, but they can't understand that I have no father, no mother, no one to rely on, no one to know, and I have to have a trust to live on.",0,0,0,0,0,0,1,0,0,0,0,0
Sometimes I really feel like I'm a liability. I can't do anything but drag my family around.,0,1,0,0,0,0,0,0,0,1,0,0
"Let's go, I'm in love. Hope is hers, despair is hers. I'm trying to get away, but why does God bother me? It's too hard to live.",0,0,1,0,0,0,0,0,0,0,0,0
"I don't want to be born in this shitty world, and my mom says if I had had an abortion, I wouldn't have had to go through all these bad things.",0,0,0,0,0,0,0,0,0,1,0,0
"I've been crying lately, and my nerves seem to be getting more and more sensitive, and I'm having a headache, and I'm 23, and I think I've had enough, and I'm tired, but I'm afraid I have a lot of things I can't afford.",0,0,1,0,0,0,0,0,0,0,0,0
"Never understood, never needed to be understood.",0,1,0,0,0,0,0,0,0,0,0,0
"I'm so tired, I'm so tired, the weather is so good, but I'm desperate to break up. What do you want me to do? I want someone to help me cry.",0,0,1,0,0,0,0,0,0,0,0,0
There's no one in the targeted boys' program. He's an ambitious man. You can leave you in front of your interests.,0,0,0,0,0,1,0,0,0,1,0,0
"Life has never been better for me, huh? At this point, I just feel like I'm shaking and seeing again the ugliest and most disgusting side of the human heart.",0,1,0,0,0,0,0,0,0,0,0,0
"Laughing is about not trying to bring negative energy to others, but how painful it is to know that sometimes people live like clowns who act, who only care about the surface they see, and when they touch their hearts. My courage is only a few times, and almost every time I do, it may seem to the other that it is just a handful of fish, not even in his story.",0,0,0,0,0,1,0,0,0,1,0,0
"Me, too. People say I'm introverted, and I'm afraid of socialization, but I just don't know how to be with people, and I don't like being alone.",0,0,0,0,0,0,0,0,0,1,0,0
I'm so boring. Nobody wants to talk to me.,0,0,0,0,0,1,0,0,0,1,0,0
Why do people live so well? I live so bad every time.,1,0,0,0,0,1,0,0,0,0,0,0
Meals. I failed.,0,0,0,0,0,0,0,0,0,1,0,0
"I used to really think I was a pretty young girl, maybe not mature, but I'd be worth a share; I had to be in love; but why was it so hard to get close to me and run away from me?",0,0,0,0,0,0,0,0,0,1,0,0
"I can't comfort myself with that. It's good. I'm hopeful about the future. I'm fighting for the future. I'm just a bunch of people who are dying, who want to die for fear, who are tired, who pretend to be nothing, who smile at their wounded friends and tell them to believe in the future. But I never believed that I had a future.",0,0,1,0,0,0,0,0,0,0,0,0
"Every day I just walk out the door, I feel tired, I feel tired, I feel tired, I feel tired, I feel tired.",0,0,1,0,0,0,0,0,0,0,0,0
"Every night, the sense of incompetence in life haunts me like a ghost.",0,0,1,0,0,0,1,0,0,0,0,0
"I really didn't think it would come to this point, why it's so hard to live. Why come to this world? What's the point of living?",0,0,1,0,0,0,0,0,0,0,0,0
"My parents have divorced me since I remember, and my dad left me at my uncle's house in Shanghai since I was in the second grade, and when I was a kid, I went to school alone, and I was a person, no family, no friendship, no love.",0,0,1,0,0,0,0,0,0,0,0,0
"I thought I'd be better this time, but then again, all the negative emotions came, felt abandoned, failed, and anyone was better than me.",0,0,0,0,0,1,0,1,0,0,0,0
It's still as bad as ever. It's not all right.,0,0,0,0,0,0,0,0,0,1,0,0
"It's my favorite thing to do when I'm hanging out with a friend and watching a movie, but it's not like I'm happy, it's like I'm tired, and I want to be happy, and it's so sad.",0,0,0,1,0,0,0,0,0,0,0,0
"How to live the rest of the day, I'm scared. I hate everything now, I hate schools, I hate all kinds of exams.",0,0,1,0,0,0,0,0,0,0,0,0
Give up. I'm destined to be alone.,0,0,0,0,0,1,0,0,0,0,0,0
"Isn't it common for a late-night crash to happen? What am I trying to defend? Love isn't easy. Everything is killing me, not just me, but the world.",0,0,0,0,0,1,0,0,0,0,0,0
"With depression, it's not a good thing to be alive anymore.",0,0,0,0,0,1,0,0,0,0,0,0
"<a alt=""Aaction-type=""widget_photoview"" action-data=""object_id=1022:230597319277418808751f7037b2804a&pid=006Cwjl5ly1wkun48308caa2&mid=342488764210&cid=4317782736&short_url=http://t.cn/Econconc""imagecard""1wk""",0,0,0,0,0,1,0,0,0,0,0,0
"I can't stand it anymore, I'm depressed, I can't breathe, I'm afraid to go to work, I'm scared, I'm not sick, I'm really scared.",0,0,1,0,0,0,1,0,0,0,0,0
"Meals, when will you take me away? I've really lived enough to be scared, 24 hours, 1440 minutes, 864 seconds a day, but I haven't had a moment to breathe for myself. Unfinished debts, endless responsibilities, how much money can I make to fill a hole in the house. I really gave up, and I did my best, or I couldn't.",0,0,1,0,0,1,0,0,0,0,0,0
"I'm here again, and I can't stand it. I've fucked up every relationship for two days and I've always regretted why I do it, but every time I do it, I'm tired, I'm sleepy, I can't feel love, and life is really boring, right?",0,0,1,0,0,0,0,0,0,0,0,0
"I've explained my weakness, and I don't want to say it, really, it's sad. I'm probably a fool, but why am I human? Why me? The world created me and laughed at me all the time, and I hate myself. Why am I not dead? They look at me sad, I'm ashamed. I'm sorry, I'm sorry. I'm sorry.",0,1,0,0,0,0,0,0,0,1,1,0
"It's okay to think that you're okay, but it's all a problem, and it's my problem.",0,0,0,0,0,0,0,0,0,0,1,0
"I am unhappy today, I have no family and no food, and my mother has to eat in someone else's house to bring me back, and no one knows how sad I am at this time, as if I had been abandoned by the whole world.",0,0,1,0,0,0,1,1,0,0,0,0
It's all by itself &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; I hate myself & nbsp; &nbsp; & hate me more than yesterday,0,0,0,0,0,0,0,0,0,0,1,0
"I don't want to talk about it, but I want to be comforted.",0,0,0,0,0,0,0,0,0,1,0,0
I knew I had nothing to do with it.,0,0,0,0,0,1,0,0,0,1,0,0
"The first time I saw your tweet, I really wanted to know how you were there, and I wanted to get away from the world. I really, really, I don't want to be in pain anymore. I don't have anything, I don't have any family friends, I don't have none, I'm alone, I'm lonely, I really want to be hugged.",0,0,1,0,0,0,0,0,0,0,0,0
"Life isn't fun, you're tired, you're bored, you're bored, you're bored, you're out of business, you're out of your mind, you're out of your mind, you're out of your mind, you're out of your mind, you're out of your mind, you're out of your mind, you're out of your mind, you're out of your mind, you're out of your mind, you're out of your mind, you're out of your mind, you're out of your mind, you're out of your mind, you're out of your mind, you know?",0,1,1,0,0,0,0,0,0,0,0,0
"It's nothing, it's just that I'm struggling in the abyss of despair, but I'm tired of it, and even though he's been with me, why can't I ever escape the abyss of despair?",0,1,1,0,0,0,0,0,0,0,0,0
"What's worse is that people look normal, only people who know what they're doing, who can't understand how desperate they are to try.",0,0,0,0,0,1,0,0,0,1,0,0
I'm so selfish. I wish someone could help me.,0,0,0,0,0,0,0,0,0,1,0,0
I'm the one who made my life this way.,0,0,0,0,0,0,0,0,0,0,1,0
"All those who loved me would leave me, not even a dog would like to be with me, a sad, sad man. Except for my father, who never dared to show his emotions, because he couldn't understand that I was not happy. Besides my mother, who couldn't control myself, a housewife started to understand depression. My father would have to die, and my mother would be sad. But I'm really tired...",0,0,0,0,0,1,0,0,0,0,0,0
Would it be better if I cut it? Should I die when I'm so ugly?,0,0,1,0,0,0,1,0,1,0,0,0
"Solitude, so much solitude, so much interest in everything, and I have no incentive to move forward, and life can't stop me.",0,0,1,0,0,0,0,0,0,0,0,0
"I'm here again, I feel a little sweet yesterday, I feel bitter today, I feel sad without the sun, I feel sad, I want to run away, but where am I supposed to run?",0,0,1,0,0,0,0,0,0,0,0,0
I'm so tired of living. Everybody's so hypocritical.,0,0,0,0,0,0,0,0,0,1,0,0
"Eat, arrange me an accident. I'm not going to last. Let me get out of it one last time. Let me get rid of this shame and feel guilty. I don't want to please anyone anymore. I'm so tired and tired. So let me get out of it if I can't change my character.",1,0,0,0,0,0,0,0,0,1,0,0
"Parents, classmates, colleagues, as if they've never met the right people, it's their problem.",0,1,0,0,0,0,0,0,0,0,1,0
"I think it's going to be a great game of mind games. Two poor people tweak together, none of them can believe it, and I'm a bit of a pain in the ass, and my insistence will soon be broken by a number of uncertainties.",0,1,0,0,0,1,0,0,0,1,0,0
"I don't like night, not at all. I hate that uncontrollable and filthy me. I'm not alone in the night and the day.",0,0,0,0,0,0,0,0,0,1,0,0
"Meals, maybe that's life. I envy it.",0,0,0,0,0,0,0,0,1,0,0,0
"Yeah, sometimes I wonder if it's my problem. I can't see in those things.",0,0,0,0,0,0,0,0,1,0,0,0
I'm not getting any better. I knew it. I didn't save my life.,0,0,0,0,0,1,0,0,0,0,0,0
"Rice, you see, no one likes anyone with negative energy around them. I have negative energy, and the world is not for me in the eyes of others. So I learn to laugh, play well, sometimes so brave that I can fool myself. For example, let's go to the sun today, and let's go to the sun again.",0,0,0,0,0,0,0,0,0,1,0,0
I hate it. I can't do anything.,0,1,0,0,0,1,0,0,0,0,0,0
"Most people actually have more or less self-inflicted self-inflicted. I sometimes feel bad, but I have to find my own way out, like listening to music and tearing off tears, as long as you're happy and you don't hurt yourself.",0,0,0,0,0,0,0,0,0,1,0,0
"It's my family, my feelings, it's a mess, it's hurt, and I'm still trying to live.",0,0,1,0,0,0,1,0,1,0,0,0
"You know, I just called the shrink and she asked me to do a set of tests, and after I sent her to see the results, the doctor advised me to go to the hospital to see if I might need some medicine and smile, and I know it's not good in my head, but I can't help but think, I'm tired, I'm depressed, I really have to hold on.",0,0,1,0,0,0,0,0,0,0,0,0
"I'm still hoping to find a safe haven for me on a living, so I can feel the love, if it doesn't matter, if it doesn't matter, if it doesn't matter, if it's not, no one will like me, especially when I'm in this state.",0,0,0,0,0,1,0,0,0,0,0,0
"It feels like it's broken. Unlike the people around it, it feels weird. It feels like it's different. The pain of the wound tells it's still alive, tells it's not easy, laughs at the Buddha's video.",0,0,0,0,0,0,0,1,0,1,0,0
"I'm tired of eating. I'm tired of typing. No hope, no motivation. I can't even feel the pain. I just want to get some sleep. Nobody knows my state. I don't even know why.",0,0,1,0,0,0,0,0,0,0,0,0
"The love of my life has done something to me, without saying goodbye. I don't know how the next life will be happy.",0,0,1,0,0,0,0,0,0,0,0,0
"I'm so sad, I'm so sad, but no one can listen to me, no one is worth sharing, I'm scared and cold, it's too hard to live.",0,0,1,0,0,1,0,0,0,0,0,0
I don't deserve to be lucky.,0,0,0,0,0,1,0,0,1,0,0,0
"It's not possible, it's possible, it's possible, it's going to be, it's going to be, it's going to be, it's going to be, it's going to be, it's going to be, it's going to be, it's going to be, it's going to be, it's going to be, it's going to be, it's going to be, it's going to be, it's going to be, it's going to be, it's going to be...",0,0,0,0,0,0,1,0,0,0,0,0
"It's raining so much, it's cold, it doesn't feel warm, I want to live, but it's too painful for me to feel alive.",0,0,1,0,0,0,0,0,0,0,0,0
But I'm so tired. I'm so tired. I'm so tired.,0,0,1,0,0,0,0,0,0,0,0,0
"I went to the psych ward, hung up the anxiety clinic, checked out a moderate state of coercion, moderate symptoms of anxiety, severe symptoms of depression and moderate signs of hostility, severe fear and moderate paranoia. Today was the second day of diagnosis. It took me over two years to get the courage to get to that place.",0,0,0,0,0,1,0,0,0,0,0,0
You coward... you can't take a little pain. How can you kill yourself?,0,0,0,0,0,0,0,0,0,1,0,0
"I've been here all day with someone I like, but I woke up this morning and I started crying, and I cried in the afternoon, and he told me I had something to tell him, but I really can't.",0,0,0,1,0,0,0,0,0,0,0,0
I'm not doing well. You tell me. I'm sorry.,0,0,0,0,0,0,0,0,0,0,1,0
